Timestamp,ADC Pin,Values _Row-1-L,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Timestamp.1,ADC Pin.1,Values _Row-1-R,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Timestamp.2,ADC Pin.2,Values _Row-2-L,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Timestamp.3,ADC Pin.3,Values _Row-2-R,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107
16:57.1,Top left 1,1589,1455,1395,1332,1275,1176,1127,1081,1041,995,2958,2930,Top right,3664,3530,3470,3407,1350,1251,1202,1156,1116,1070,1033,1005,16:57.1,Top left 1,1589,1455,1395,1332,1275,1176,1127,1081,1041,995,2958,2930,Top right,3664,3530,3470,1407,1350,1251,1202,1156,1116,1070,1033,1005,16:57.1,Top left 1,1589,1455,1395,1332,1275,1176,1127,1081,1041,995,958,930,Top right,1664,1530,1470,1407,1350,1251,1202,1156,1116,1070,1033,1005,16:57.1,Top left 1,1589,1455,1395,1332,1275,1176,1127,1081,1041,995,958,930,Top right,1664,1530,1470,1407,1350,1251,1202,1156,1116,1070,1033,1005
16:57.1,Top left 2,862,823,793,763,741,711,686,669,653,636,2627,2611,Top right,2937,2898,2868,2838,816,786,761,744,728,711,702,686,16:57.1,Top left 2,862,823,793,763,741,711,686,669,653,636,2627,2611,Top right,2937,2898,2868,838,816,786,761,744,728,711,702,686,16:57.1,Top left 2,862,823,793,763,741,711,686,669,653,636,627,611,Top right,937,898,868,838,816,786,761,744,728,711,702,686,16:57.1,Top left 2,862,823,793,763,741,711,686,669,653,636,627,611,Top right,937,898,868,838,816,786,761,744,728,711,702,686
16:57.1,Top left 3,818,780,745,719,693,671,652,633,617,601,2589,2574,Top right,2893,2855,2820,2794,768,746,727,708,692,676,664,649,16:57.1,Top left 3,818,780,745,719,693,671,652,633,617,601,2589,2574,Top right,2893,2855,2820,794,768,746,727,708,692,676,664,649,16:57.1,Top left 3,818,780,745,719,693,671,652,633,617,601,589,574,Top right,893,855,820,794,768,746,727,708,692,676,664,649,16:57.1,Top left 3,818,780,745,719,693,671,652,633,617,601,589,574,Top right,893,855,820,794,768,746,727,708,692,676,664,649
16:57.1,Top left 4,603,581,564,551,539,531,519,509,501,496,2493,2489,Top right,2678,2656,2639,2626,614,606,594,584,576,571,568,564,16:57.1,Top left 4,603,581,564,551,539,531,519,509,501,496,2493,2489,Top right,2678,2656,2639,626,614,606,594,584,576,571,568,564,16:57.1,Top left 4,603,581,564,551,539,531,519,509,501,496,493,489,Top right,678,656,639,626,614,606,594,584,576,571,568,564,16:57.1,Top left 4,603,581,564,551,539,531,519,509,501,496,493,489,Top right,678,656,639,626,614,606,594,584,576,571,568,564
16:57.1,Top left 5,341,359,365,375,381,391,396,399,405,407,2411,2414,Top right,2416,2434,2440,2450,456,466,471,474,480,482,486,489,16:57.1,Top left 5,341,359,365,375,381,391,396,399,405,407,2411,2414,Top right,2416,2434,2440,450,456,466,471,474,480,482,486,489,16:57.1,Top left 5,341,359,365,375,381,391,396,399,405,407,411,414,Top right,416,434,440,450,456,466,471,474,480,482,486,489,16:57.1,Top left 5,341,359,365,375,381,391,396,399,405,407,411,414,Top right,416,434,440,450,456,466,471,474,480,482,486,489
16:57.1,Top left 6,487,478,473,469,463,467,461,459,457,456,2455,2455,Top right,2562,2553,2548,2544,538,542,536,534,532,531,530,530,16:57.1,Top left 6,487,478,473,469,463,467,461,459,457,456,2455,2455,Top right,2562,2553,2548,544,538,542,536,534,532,531,530,530,16:57.1,Top left 6,487,478,473,469,463,467,461,459,457,456,455,455,Top right,562,553,548,544,538,542,536,534,532,531,530,530,16:57.1,Top left 6,487,478,473,469,463,467,461,459,457,456,455,455,Top right,562,553,548,544,538,542,536,534,532,531,530,530
16:57.1,Top left 7,713,679,655,631,613,597,583,569,556,550,2539,2533,Top right,2788,2754,2730,2706,688,672,658,644,631,625,614,608,16:57.1,Top left 7,713,679,655,631,613,597,583,569,556,550,2539,2533,Top right,2788,2754,2730,706,688,672,658,644,631,625,614,608,16:57.1,Top left 7,713,679,655,631,613,597,583,569,556,550,539,533,Top right,788,754,730,706,688,672,658,644,631,625,614,608,16:57.1,Top left 7,713,679,655,631,613,597,583,569,556,550,539,533,Top right,788,754,730,706,688,672,658,644,631,625,614,608
16:57.1,Top left 8,570,553,539,531,520,505,501,493,488,485,2479,2476,Top right,2645,2628,2614,2606,595,580,576,568,563,560,554,551,16:57.1,Top left 8,570,553,539,531,520,505,501,493,488,485,2479,2476,Top right,2645,2628,2614,606,595,580,576,568,563,560,554,551,16:57.1,Top left 8,570,553,539,531,520,505,501,493,488,485,479,476,Top right,645,628,614,606,595,580,576,568,563,560,554,551,16:57.1,Top left 8,570,553,539,531,520,505,501,493,488,485,479,476,Top right,645,628,614,606,595,580,576,568,563,560,554,551
16:57.1,Top left 9,301,329,347,360,371,379,390,395,399,407,2410,2414,Top right,2376,2404,2422,2435,446,454,465,470,474,482,485,489,16:57.1,Top left 9,301,329,347,360,371,379,390,395,399,407,2410,2414,Top right,2376,2404,2422,435,446,454,465,470,474,482,485,489,16:57.1,Top left 9,301,329,347,360,371,379,390,395,399,407,410,414,Top right,376,404,422,435,446,454,465,470,474,482,485,489,16:57.1,Top left 9,301,329,347,360,371,379,390,395,399,407,410,414,Top right,376,404,422,435,446,454,465,470,474,482,485,489
16:57.1,Top left 10,499,489,485,477,475,472,469,467,465,463,2462,2461,Top right,2574,2564,2560,2552,550,547,544,542,540,538,537,536,16:57.1,Top left 10,499,489,485,477,475,472,469,467,465,463,2462,2461,Top right,2574,2564,2560,552,550,547,544,542,540,538,537,536,16:57.1,Top left 10,499,489,485,477,475,472,469,467,465,463,462,461,Top right,574,564,560,552,550,547,544,542,540,538,537,536,16:57.1,Top left 10,499,489,485,477,475,472,469,467,465,463,462,461,Top right,574,564,560,552,550,547,544,542,540,538,537,536
16:57.1,Top left 11,723,692,667,647,623,607,595,583,571,559,2549,2540,Top right,2798,2767,2742,2722,698,682,670,658,646,634,624,615,16:57.1,Top left 11,723,692,667,647,623,607,595,583,571,559,2549,2540,Top right,2798,2767,2742,722,698,682,670,658,646,634,624,615,16:57.1,Top left 11,723,692,667,647,623,607,595,583,571,559,549,540,Top right,798,767,742,722,698,682,670,658,646,634,624,615,16:57.1,Top left 11,723,692,667,647,623,607,595,583,571,559,549,540,Top right,798,767,742,722,698,682,670,658,646,634,624,615
16:57.1,Top left 12,587,565,551,539,531,521,509,503,499,493,2490,2488,Top right,2662,2640,2626,2614,606,596,584,578,574,568,565,563,16:57.1,Top left 12,587,565,551,539,531,521,509,503,499,493,2490,2488,Top right,2662,2640,2626,614,606,596,584,578,574,568,565,563,16:57.1,Top left 12,587,565,551,539,531,521,509,503,499,493,490,488,Top right,662,640,626,614,606,596,584,578,574,568,565,563,16:57.1,Top left 12,587,565,551,539,531,521,509,503,499,493,490,488,Top right,662,640,626,614,606,596,584,578,574,568,565,563
16:57.1,Bottom left 1,345,363,375,381,393,399,407,411,416,419,2423,2427,Bottom right 1,2420,2438,2450,2456,468,474,482,486,491,494,498,502,16:57.1,Bottom left 1,345,363,375,381,393,399,407,411,416,419,2423,2427,Bottom right 1,2420,2438,2450,456,468,474,482,486,491,494,498,502,16:57.1,Bottom left 1,345,363,375,381,393,399,407,411,416,419,423,427,Bottom right 1,420,438,450,456,468,474,482,486,491,494,498,502,16:57.1,Bottom left 1,345,363,375,381,393,399,407,411,416,419,423,427,Bottom right 1,420,438,450,456,468,474,482,486,491,494,498,502
16:57.1,Bottom left 2,519,503,493,489,485,483,478,475,473,473,2472,2471,Bottom right 2,2594,2578,2568,2564,560,558,553,550,548,548,547,546,16:57.1,Bottom left 2,519,503,493,489,485,483,478,475,473,473,2472,2471,Bottom right 2,2594,2578,2568,564,560,558,553,550,548,548,547,546,16:57.1,Bottom left 2,519,503,493,489,485,483,478,475,473,473,472,471,Bottom right 2,594,578,568,564,560,558,553,550,548,548,547,546,16:57.1,Bottom left 2,519,503,493,489,485,483,478,475,473,473,472,471,Bottom right 2,594,578,568,564,560,558,553,550,548,548,547,546
16:57.1,Bottom left 3,731,697,676,653,634,618,603,589,580,568,2559,2552,Bottom right 3,2806,2772,2751,2728,709,693,678,664,655,643,634,627,16:57.1,Bottom left 3,731,697,676,653,634,618,603,589,580,568,2559,2552,Bottom right 3,2806,2772,2751,728,709,693,678,664,655,643,634,627,16:57.1,Bottom left 3,731,697,676,653,634,618,603,589,580,568,559,552,Bottom right 3,806,772,751,728,709,693,678,664,655,643,634,627,16:57.1,Bottom left 3,731,697,676,653,634,618,603,589,580,568,559,552,Bottom right 3,806,772,751,728,709,693,678,664,655,643,634,627
